Unnamed: 0,variable,file,level1,value1,level2,value2,level3,value3,level4,value4,level5,value5,code,size
0,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Clothes Dryer,200.0,not,not,200,1226200000
1,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Clothes Washer,190.0,not,not,190,55944360
2,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Electric Stove or Oven,100.0,not,not,100,667464400
3,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Garbage Disposal,180.0,not,not,180,123117120
4,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Gas Stove or Oven,110.0,not,not,110,79707320
5,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Home-Freezer,150.0,not,not,150,589793400
6,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Microwave Stove or Oven,120.0,not,not,120,168180480
7,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Other Stove or Oven,130.0,not,not,130,159248960
8,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Portable Dishwasher,170.0,not,not,170,119986000
9,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Range Hood,210.0,not,not,210,10501680
10,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Refrigerator,14.0,not,not,140,61640320
11,MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Clothes Washer or Dryer,195.0,not,not,195,9379500
12,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Phonographs,410.0,410,211555080
13,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Black and white TVs, and combinations of TVs with other items",380.0,380,714197840
14,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Calculators,590.0,590,134871640
15,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Color televisions, consoles and combinations of TV, large screen color TV projection equipment and other items",370.0,370,455051160
16,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Color televisions, portable and table models",360.0,360,619164000
17,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Typewriters and other office machines for non-business use,620.0,620,281276640
18,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Satellite dishes,670.0,670,97669920
19,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"VCR, Video Camera, Video Disc Player, Camcorder",390.0,390,379390440
20,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Computer software and accessories for non-business use.,650.0,650,4640503400
21,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Other office machines including typewriters and calculators,620.0,620,281276640
22,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Video and computer game hardware, software, Gameboys, and accessories",700.0,700,7856424800
23,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Digital book readers, such as the Amazon Kindle and the Nook",655.0,655,62361240
24,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Personal Digital Assistants or PDAs,665.0,665,126057400
25,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Radio, all types",400.0,400,12919377600
26,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Sound components, component systems and compact disc sound systems",430.0,430,521794680
27,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Tape recorders and players,420.0,420,489155520
28,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Telephone answering devices,610.0,610,262544000
29,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Video games,710.0,710,0
30,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Computer accessories,645.0,645,53493720
31,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Electric Personal Care Appliances,240.0,240,1582124160
32,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Handheld personal music players,395.0,395,161422280
33,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Other office machines including fax machines and calculators,620.0,620,281276640
34,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Other sound and video equipment, including accessories",440.0,440,305307200
35,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Portable memory, such as flash drives, memory cards, and recordable discs and tapes",750.0,750,2778543000
36,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Stereos, radios, speakers, and sound components, including those installed in vehicles",425.0,425,644946000
37,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Telephones and accessories,660.0,660,462564960
38,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Televisions, all types including combinations of TVs with DVD/video players",365.0,365,95517580
39,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Digital book readers or tablets,655.0,655,62361240
40,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Pianos and Organs,450.0,450,4500437400
41,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Smoke Detectors,250.0,250,7381556000
42,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Bicycles or bicycle equipment,540.0,540,713536560
43,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Camping Equipment,490.0,490,274137360
44,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"General Sports Equipment (exclude athletic shoes for sports related use, such as football, baseball, soccer, or bowling)",470.0,470,333914320
45,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Health and Exercise Equipment,480.0,480,960576000
