variable,file,level1,value1,level2,value2,level3,value3,level4,value4,level5,value5,code,size
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Clothes Dryer,200.0,not,not,200,1226200000
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Clothes Washer,190.0,not,not,190,55944360
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Electric Stove or Oven,100.0,not,not,100,667464400
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Garbage Disposal,180.0,not,not,180,123117120
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Gas Stove or Oven,110.0,not,not,110,79707320
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Home-Freezer,150.0,not,not,150,589793400
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Microwave Stove or Oven,120.0,not,not,120,168180480
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Other Stove or Oven,130.0,not,not,130,159248960
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Portable Dishwasher,170.0,not,not,170,119986000
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Range Hood,210.0,not,not,210,10501680
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Refrigerator,14.0,not,not,140,61640320
MAJAPPLY,APA,Property,494,"Appliances, Devices, and Equipment",2,Major Home Appliances ,15.0,Clothes Washer or Dryer,195.0,not,not,195,9379500
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Phonographs,410.0,410,211555080
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Black and white TVs, and combinations of TVs with other items",380.0,380,714197840
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Calculators,590.0,590,134871640
